"Date","Region","Place","Trigger","Trigger..additional.info","Weak.Layer","Depth","Width","Vertical","Aspect","Elevation","Coordinates","Caught","Carried","Buried...Partly","Buried...Fully","Injured","Killed"
"2016-12-09","Uintas","Hoyt Peak","Skier","Intentionally Triggered","New Snow/Old Snow Interface","6""","80'","150'","Northeast","10,100'","40.691941640468, -111.196918474770",NA,NA,NA,NA,NA,NA
"2016-12-10","Salt Lake","Upper Days","Skier","Cornice Triggered","New Snow/Old Snow Interface","8""","50'","400'","North","9,500'","",NA,NA,NA,NA,NA,NA
"2016-12-10","Salt Lake","Days Fork","Snowboarder","Unintentionally Triggered","Depth Hoar","2'","50'","300'","Northeast","9,700'","40.605312204034, -111.636414515120",NA,NA,NA,NA,NA,NA
"2016-12-10","Salt Lake","Soldier Peak","Skier","Unintentionally Triggered","Facets","","50'","600'","East","9,300'","40.671849264545, -111.657829271880",NA,NA,NA,NA,NA,NA
"2016-12-10","Uintas","Duke Bowl","Skier","Unintentionally Triggered","New Snow/Old Snow Interface","6""","15'","200'","Northwest","10,100'","40.678021402080, -111.148338305080",NA,NA,NA,NA,NA,NA
"2016-12-10","Logan","Chicken Hill","Natural","","Depth Hoar","3'","200'","","North","8,800'","41.913581335519, -111.627151993490",NA,NA,NA,NA,NA,NA
"2016-12-10","Salt Lake","Twin Lakes area","Skier","Remotely Triggered","New Snow","4""","100'","50'","Northeast","","40.596701577877, -111.599874781690",NA,NA,NA,NA,NA,NA
"2016-12-10","Salt Lake","Brighton Perimeter","Natural","","New Snow","8""","","","North","9,500'","",NA,NA,NA,NA,NA,NA
"2016-12-10","Salt Lake","Main Porter","Skier","Remotely Triggered","Density Change","10""","60'","300'","East","9,500'","40.667975907527, -111.722754823300",NA,NA,NA,NA,NA,NA
"2016-12-10","Uintas","Weber Canyon","Natural","","New Snow","16""","1,500'","700'","Northeast","10,100'","40.704092172624, -111.200652109720",NA,NA,NA,NA,NA,NA
"2016-12-11","Uintas","Weber Canyon","Skier","Remotely Triggered","Facets","2.5'","25'","175'","North","9,800'","40.702914693813, -111.196231829260",NA,NA,NA,NA,NA,NA
"2016-12-10","Uintas","Hoyt Peak","Natural","","New Snow","12""","600'","400'","East","10,000'","40.694599660440, -111.198675321690",NA,NA,NA,NA,NA,NA
"2016-12-11","Salt Lake","Barrieto","Natural","","New Snow/Old Snow Interface","","150'","","Northeast","10,000'","40.634538303643, -111.698749052630",NA,NA,NA,NA,NA,NA
"2016-12-11","Provo","Box Elder","Natural","","Facets","20""","50'","350'","East","9,500'","40.501058493768, -111.694811569790",NA,NA,NA,NA,NA,NA
"2016-12-11","Ogden","Rodeo Ridge","Natural","","Depth Hoar","3.5'","250'","","Northeast","8,600'","",NA,NA,NA,NA,NA,NA
"2016-12-11","Provo","Elk Point","Natural","","Density Change","12""","30'","","Northeast","10,600'","",NA,NA,NA,NA,NA,NA
"2016-12-12","Salt Lake","10420","Snowboarder","Remotely Triggered","Facets","2'","30'","400'","Northeast","10,000'","",2,2,NA,NA,NA,NA
"2016-12-12","Skyline","Wedding Ring Ridge","Natural","","New Snow/Old Snow Interface","18""","100'","150'","East","10,000'","39.608968059708, -111.290817247950",NA,NA,NA,NA,NA,NA
"2016-12-10","Logan","Natural cycle in the Tony Grove Area","Natural","","Depth Hoar","4'","300'","600'","North","9,200'","41.896838085291, -111.659646101790",NA,NA,NA,NA,NA,NA
"2016-12-10","Provo","Cascade Ridge","Natural","","Facets","4.5'","300'","","East","10,400'","",NA,NA,NA,NA,NA,NA
"2016-12-13","Salt Lake","Pink Pine","Snowboarder","Unintentionally Triggered","","8""","30'","200'","Northeast","9,400'","40.556073163327, -111.690337645150",1,1,NA,NA,NA,NA
"2016-12-13","Salt Lake","Hide A Way Park","Skier","Unintentionally Triggered","Facets","14""","25'","400'","North","10,000'","40.603266137495, -111.632852541550",NA,NA,NA,NA,NA,NA
"2016-12-11","Salt Lake","Lacawaxan","Unknown","","Facets","12""","50'","300'","East","10,400'","",NA,NA,NA,NA,NA,NA
"2016-12-14","Salt Lake","Upper Days","Skier","","","","","","","","",NA,NA,NA,NA,NA,NA
"2016-12-14","Salt Lake","Grizzly Gulch","Natural","","New Snow","6""","200'","150'","North","9,800'","40.592940666160, -111.618003832450",NA,NA,NA,NA,NA,NA
"2016-12-14","Salt Lake","Snake Creek Pass","Natural","","New Snow","8""","","","Northeast","","",NA,NA,NA,NA,NA,NA
"2016-12-14","Salt Lake","Cardiff Fork","Skier","Intentionally Triggered","New Snow","6""","175'","150'","Northeast","9,900'","40.595852885477, -111.654664265260",NA,NA,NA,NA,NA,NA
"2016-12-14","Salt Lake","Days Fork","Skier","Intentionally Triggered","New Snow/Old Snow Interface","6""","60'","","Northeast","10,300'","40.600314070662, -111.643323885540",NA,NA,NA,NA,NA,NA
"2016-12-15","Salt Lake","West Monitor","Natural","Cornice Triggered","New Snow","20""","60'","800'","Northeast","10,000'","",NA,NA,NA,NA,NA,NA
"2016-12-15","Salt Lake","Flagstaff Ridge","Skier","Unintentionally Triggered","Graupel","20""","70'","100'","Southeast","9,400'","40.594777270683, -111.640899168600",1,NA,NA,NA,NA,NA
"2016-12-14","Salt Lake","Cinder Chutes","Snowboarder","Unintentionally Triggered","New Snow","","20'","900'","East","9,700'","40.670908632792, -111.599909650420",NA,NA,NA,NA,NA,NA
"2016-12-15","Uintas","Upper Weber Canyon","Explosive","","New Snow/Old Snow Interface","2'","200'","400'","East","10,300'","",NA,NA,NA,NA,NA,NA
"2016-12-16","Salt Lake","South Monitor Bowl","Natural","Cornice Triggered","New Snow/Old Snow Interface","4'","500'","800'","Northeast","9,900'","",NA,NA,NA,NA,NA,NA
"2016-12-16","Uintas","Upper Weber Canyon","Skier","Cornice Triggered","","4'","40'","","North","10,500'","",NA,NA,NA,NA,NA,NA
"2016-12-16","Logan","Beaver Mountain Backside","Unknown","","New Snow/Old Snow Interface","18""","80'","250'","Southeast","8,000'","41.959351259706, -111.557002352820",NA,NA,NA,NA,NA,NA
"2016-12-16","Logan","Shumway Canyon","Natural","","","","","1,500'","East","","41.654007820953, -112.011558506960",NA,NA,NA,NA,NA,NA
"2016-12-16","Moab","La Sal Mountains","Natural","","Facets","3.5'","70'","700'","Northeast","11,400'","38.461624660901, -109.249076830490",NA,NA,NA,NA,NA,NA
"2016-12-16","Moab","La Sal Mountains","Natural","","Facets","3'","300'","600'","Northeast","10,400'","38.465253778301, -109.276628481490",NA,NA,NA,NA,NA,NA
"2016-12-16","Moab","La Sal Mountains","Natural","","Facets","2.5'","600'","400'","Northeast","11,300'","38.444641199667, -109.248754965400",NA,NA,NA,NA,NA,NA
"2016-12-16","Logan","Wood Camp","Natural","","New Snow/Old Snow Interface","","","1,750'","Southeast","8,500'","41.814341852815, -111.671819063810",NA,NA,NA,NA,NA,NA
"2016-12-16","Salt Lake","Little Cottonwood Canyon","","","","","","","","","",NA,NA,NA,NA,NA,NA
"2016-12-19","Salt Lake","Raymond Peak","Skier","Intentionally Triggered","New Snow","3""","40'","","","10,200'","",NA,NA,NA,NA,NA,NA
"2016-12-18","Provo","Snake Creek","Unknown","","","2'","200'","600'","South","8,300'","",NA,NA,NA,NA,NA,NA
"2016-12-17","Salt Lake","Pioneer Peak","Natural","","Density Change","2'","300'","500'","Northwest","10,000'","40.581250287856, -111.588714109990",NA,NA,NA,NA,NA,NA
"2016-12-19","Salt Lake","White Pine","Snowboarder","Unintentionally Triggered","Depth Hoar","","700'","1,000'","North","11,000'","40.552112760962, -111.665339457120",1,1,1,NA,NA,NA
"2016-12-20","Salt Lake","Superior","Skier","Unintentionally Triggered","","","","","South","10,000'","",1,1,NA,NA,NA,NA
"2016-12-16","Provo","Elk Point","Natural","","","","","","East","","",NA,NA,NA,NA,NA,NA
"2016-12-16","Salt Lake","White Pine","Natural","Cornice Triggered","Depth Hoar","","150'","700'","Northeast","9,800'","40.550835907962, -111.688277708620",NA,NA,NA,NA,NA,NA
"2016-12-18","Salt Lake","Salt Lake","Unknown","","Facets","3'","300'","175'","North","10,200'","",NA,NA,NA,NA,NA,NA
"2016-12-24","Logan","Logan","Skier","","","","","20'","North","7,600'","41.972850108973, -111.479387270550",NA,NA,NA,NA,NA,NA
"2016-12-24","Salt Lake","Cardiff Bowl","Snowboarder","Unintentionally Triggered","New Snow/Old Snow Interface","2'","30'","200'","East","10,200'","40.594809857611, -111.652357565500",1,1,NA,NA,NA,NA
"2016-12-24","Salt Lake","Depth Hoar Bowl","Skier","Intentionally Triggered","New Snow/Old Snow Interface","5""","20'","20'","Northeast","9,700'","40.677936222181, -111.683535563090",NA,NA,NA,NA,NA,NA
"2016-12-24","Salt Lake","East Bowl","Skier","Intentionally Triggered","","12""","250'","800'","Northwest","10,400'","",NA,NA,NA,NA,NA,NA
"2016-12-25","Skyline","Huntington Canyon","","","","","","","","","",NA,NA,NA,NA,NA,NA
"2016-12-27","Logan","Tony Grove","Snowboarder","Intentionally Triggered","Density Change","12""","50'","","East","9,000'","41.894099557603, -111.644096361730",NA,NA,NA,NA,NA,NA
"2016-12-27","Ogden","Cutler Ridge","Snowboarder","Intentionally Triggered","Density Change","12""","40'","50'","Northeast","7,300'","41.379301010827, -111.942615496250",NA,NA,NA,NA,NA,NA
"2016-12-27","Ogden","Cutler Ridge","Skier","Unintentionally Triggered","Density Change","18""","50'","70'","Northeast","7,100'","41.378505628380, -111.936264025310",NA,NA,NA,NA,NA,NA
"2016-12-27","Ogden","Cutler Ridge","Skier","Remotely Triggered","","18""","80'","150'","Northeast","6,800'","41.378795445007, -111.927766787150",NA,NA,NA,NA,NA,NA
"2016-12-27","Logan","Paradise Dry","Skier","Intentionally Triggered","Facets","20""","300'","900'","Northeast","7,900'","",NA,NA,NA,NA,NA,NA
"2016-12-27","Salt Lake","Mill Creek Canyon","Skier","Remotely Triggered","Density Change","16""","25'","250'","East","9,700'","40.665112227656, -111.722116457570",NA,NA,NA,NA,NA,NA
"2016-12-28","Ogden","Ogden Foothills","Hiker","","","","15'","30'","North","","41.143243443134, -111.911318785110",NA,NA,NA,NA,NA,NA
"2016-12-28","Skyline","Ephraim Canyon","Snowmobiler","","","","","","","","",1,1,NA,NA,NA,NA
"2016-12-25","Abajos","Abajos","Natural","","New Snow/Old Snow Interface","18""","25'","50'","East","9,700'","37.851947957821, -109.485626207920",NA,NA,NA,NA,NA,NA
"2016-12-31","Skyline","Big Drift/Skyline Summit","Unknown","","","","150'","","East","10,000'","39.614938488437, -111.294306278210",NA,NA,NA,NA,NA,NA
"2016-12-29","Salt Lake","Butler Fork","Unknown","","","","100'","","North","","40.665113587004, -111.679067811980",NA,NA,NA,NA,NA,NA
"2017-01-02","Salt Lake","No Name Bowl","Skier","Unintentionally Triggered","Facets","12""","70'","500'","Northeast","9,400'","",NA,NA,NA,NA,NA,NA
"2017-01-02","Moab","Moab","Skier","Unintentionally Triggered","Density Change","8""","60'","175'","North","11,200'","38.445206884902, -109.250876592730",NA,NA,NA,NA,NA,NA
"2017-01-02","Salt Lake","Neffs","Natural","","Facets","20""","200'","","Northeast","9,500'","",NA,NA,NA,NA,NA,NA
"2017-01-05","Uintas","Hoyt Peak","Skier","Unintentionally Triggered","New Snow/Old Snow Interface","18""","250'","400'","Northeast","10,000'","40.692588614734, -111.197134392600",1,1,NA,NA,NA,NA
"2017-01-04","Logan","Mendon Bench","Unknown","","Facets","18""","175'","50'","East","","41.694828376158, -111.974760550690",NA,NA,NA,NA,NA,NA
"2017-01-04","Logan","Maple Bench","Natural","","","20""","200'","500'","East","6,500'","41.688270508403, -112.013533833410",NA,NA,NA,NA,NA,NA
"2017-01-04","Salt Lake","Cardiac Ridge","Natural","","","","","","Northeast","10,000'","40.598445762004, -111.665249603130",NA,NA,NA,NA,NA,NA
"2017-01-05","Provo","Provo","Natural","","Facets","3'","700'","","East","8,000'","",NA,NA,NA,NA,NA,NA
"2017-01-05","Salt Lake","Wolverine Cirque","Natural","","","2'","300'","","Northwest","10,300'","",NA,NA,NA,NA,NA,NA
"2017-01-06","Skyline","Electric Lake","Skier","Unintentionally Triggered","Surface Hoar","2'","250'","600'","Northeast","9,600'","39.632894605613, -111.249833094230",NA,NA,NA,NA,NA,NA
"2017-01-05","Salt Lake","Diving Board","Natural","","New Snow/Old Snow Interface","3'","300'","1,250'","East","9,800'","",NA,NA,NA,NA,NA,NA
"2017-01-04","Skyline","Lake Canyon","Natural","","","","","","Northeast","10,100'","39.571410799486, -111.285366999240",NA,NA,NA,NA,NA,NA
"2017-01-05","Skyline","Huntington Reservior","Natural","","","","","","Northeast","","",NA,NA,NA,NA,NA,NA
"2017-01-07","Provo","Provo","Natural","","Density Change","12""","","3,000'","East","10,200'","",NA,NA,NA,NA,NA,NA
"2017-01-05","Salt Lake","White Pine","Natural","","","18""","125'","200'","East","10,500'","",NA,NA,NA,NA,NA,NA
"2017-01-08","Salt Lake","Foothills","Natural","Repeater","Ground Interface","6""","40'","20'","East","5,200'","",NA,NA,NA,NA,NA,NA
"2017-01-04","Skyline","SR264 Drift","Natural","","","","","","Northeast","8,700'","39.681062755710, -111.243535267450",NA,NA,NA,NA,NA,NA
"2017-01-08","Skyline","Fairview Canyon","Natural","","Density Change","9""","125'","","North","7,100'","39.646205700301, -111.394522177310",NA,NA,NA,NA,NA,NA
"2017-01-08","Skyline","Fairview Road Banks","Natural","","Density Change","9""","125'","70'","South","8,400'","",NA,NA,NA,NA,NA,NA
"2017-01-08","Ogden","Cutler Ridge","Skier","Intentionally Triggered","New Snow/Old Snow Interface","12""","100'","60'","","7,700'","",NA,NA,NA,NA,NA,NA
"2017-01-08","Salt Lake","Mineral Basin","Natural","","New Snow/Old Snow Interface","8""","100'","250'","North","9,800'","40.550436709336, -111.634322392090",NA,NA,NA,NA,NA,NA
"2017-01-08","Salt Lake","Guardsman Pass area","Skier","Remotely Triggered","New Snow/Old Snow Interface","8""","80'","175'","Southeast","9,700'","40.607343407847, -111.552288601950",NA,NA,NA,NA,NA,NA
"2017-01-09","Salt Lake","Y Coulior","Natural","","","","","","North","","40.565012157518, -111.725742804150",NA,NA,NA,NA,NA,NA
"2017-01-09","Provo","Provo Canyon","","","","","","","","","",NA,NA,NA,NA,NA,NA
"2017-01-09","Logan","Gibson Canyon","Natural","","","4'","800'","2,500'","East","8,800'","41.681422052022, -112.011888054580",NA,NA,NA,NA,NA,NA
"2017-01-09","Logan","Cache Valley","","","","","","","","","",NA,NA,NA,NA,NA,NA
"2017-01-09","Salt Lake","Scotties Bowl","Skier","Remotely Triggered","Density Change","12""","150'","300'","West","9,400'","",NA,NA,NA,NA,NA,NA
"2017-01-09","Salt Lake","White Pine","Skier","Intentionally Triggered","Density Change","10""","100'","800'","","9,000'","",NA,NA,NA,NA,NA,NA
"2017-01-10","Salt Lake","Pink Pine","Skier","Cornice Triggered","Density Change","15""","80'","300'","Northeast","9,200'","40.558898089890, -111.692805277440",NA,NA,NA,NA,NA,NA
"2017-01-10","Salt Lake","10420","Skier","Cornice Triggered","New Snow/Old Snow Interface","12""","150'","","North","9,600'","40.604015028534, -111.567921625710",NA,NA,NA,NA,NA,NA
"2017-01-10","Skyline","Electric Lake","Natural","","","2'","150'","","Northeast","9,300'","39.638704130666, -111.255004393200",NA,NA,NA,NA,NA,NA
"2017-01-10","Uintas","Upper Weber Canyon","Natural","","","6'","700'","800'","Northeast","9,800'","40.832773790974, -111.065382944680",NA,NA,NA,NA,NA,NA
"2017-01-11","Skyline","Blue Cut","Natural","","","","","","East","8,500'","39.506914199281, -111.159903990360",NA,NA,NA,NA,NA,NA
"2017-01-11","Logan","Beaver Canyon","Unknown","","Facets","4'","150'","250'","Northwest","7,200'","41.954787166113, -111.540559924350",NA,NA,NA,NA,NA,NA
"2017-01-12","Salt Lake","Catchers Mit","Natural","","New Snow","","","","East","10,000'","40.624360423613, -111.667699801060",NA,NA,NA,NA,NA,NA
"2017-01-12","Logan","Wellsville Mountain Wilderness","Natural","","Facets","","1,500'","2,500'","East","8,700'","41.671754159414, -112.008450557510",NA,NA,NA,NA,NA,NA
"2017-01-12","Logan","Mitton Peak","Natural","","Facets","5'","2,500'","2,500'","Southeast","8,300'","41.607712453383, -111.990381735990",NA,NA,NA,NA,NA,NA
"2017-01-11","Ogden","Snowbasin Backcountry","Unknown","Repeater","Density Change","","","700'","Southeast","7,800'","41.216441313264, -111.877083765610",NA,NA,NA,NA,NA,NA
"2017-01-11","Ogden","Ogden","Natural","","","","","","","","41.379022215655, -111.928985515870",NA,NA,NA,NA,NA,NA
"2017-01-11","Ogden","Ben Lomond","Natural","","Facets","3.5'","150'","","","7,500'","",NA,NA,NA,NA,NA,NA
"2017-01-11","Uintas","Smith-Moorehouse","Snowboarder","","Facets","4'","300'","800'","East","9,400'","",2,2,1,1,1,NA
"2017-01-11","Logan","Zanavoo Gully","Natural","","Facets","","","2,750'","North","8,000'","41.735298064463, -111.733102785680",NA,NA,NA,NA,NA,NA
"2017-01-11","Salt Lake","Cardiac Ridge","Natural","","New Snow/Old Snow Interface","4'","2,500'","1,250'","East","10,700'","",NA,NA,NA,NA,NA,NA
"2017-01-13","Logan","Zanavoo Gully","Natural","","","","","2,500'","North","7,600'","41.736382890003, -111.736536013230",NA,NA,NA,NA,NA,NA
"2017-01-14","Skyline","Fairview Lakes","Snowmobiler","","","","","","Northeast","9,500'","39.629402458976, -111.321716295820",NA,NA,NA,NA,NA,NA
"2017-01-14","Salt Lake","west porter","Unknown","Cornice Triggered","Graupel","16""","500'","450'","East","9,500'","40.669877762257, -111.722760187720",NA,NA,NA,NA,NA,NA
"2017-01-11","Skyline","Pleasant Creek","Natural","","","","70'","900'","North","9,900'","39.518894003067, -111.319817291840",NA,NA,NA,NA,NA,NA
"2017-01-12","Salt Lake","Catchers Mit","Unknown","","","","","","North","","40.625196448953, -111.667358560490",NA,NA,NA,NA,NA,NA
"2017-01-15","Salt Lake","Red Pine Gulch","Skier","","","12""","50'","150'","North","10,800'","",NA,NA,NA,NA,NA,NA
"2017-01-15","Salt Lake","Wolverine Cirque","Skier","Intentionally Triggered","Density Change","6""","15'","250'","North","10,600'","40.585261208530, -111.606824385260",NA,NA,NA,NA,NA,NA
"2017-01-15","Provo","NW Couloir","Skier","Unintentionally Triggered","Facets","3'","80'","300'","North","10,200'","",1,1,NA,NA,NA,NA
"2017-01-15","Salt Lake","Red Pine Gulch","Skier","Intentionally Triggered","Density Change","14""","30'","150'","North","10,600'","40.535069192715, -111.694221483800",NA,NA,NA,NA,NA,NA
"2017-01-12","Logan","North Wood Camp","Natural","","Facets","6'","1,000'","","Southeast","8,000'","41.828516996097, -111.665942954160",NA,NA,NA,NA,NA,NA
"2017-01-16","Salt Lake","Little Pine","Natural","","","","","","South","","40.584237112365, -111.687011705970",NA,NA,NA,NA,NA,NA
"2017-01-14","Uintas","Strawberry","Snowmobiler","Unintentionally Triggered","","5.5'","200'","300'","Northwest","8,800'","40.007085744920, -111.129663424820",1,1,NA,NA,1,NA
"2017-01-11","Ogden","Willard Peak","Natural","","Facets","","2,500'","1,500'","Northeast","7,500'","",NA,NA,NA,NA,NA,NA
"2017-01-16","Salt Lake","Hogum","Skier","Unintentionally Triggered","Density Change","7""","60'","200'","South","11,100'","40.540522534672, -111.742345677950",1,NA,NA,NA,NA,NA
"2017-01-16","Salt Lake","Hogum","Skier","Unintentionally Triggered","Density Change","4""","15'","150'","Northeast","10,600'","",1,1,NA,NA,NA,NA
"2017-01-15","Salt Lake","Tuscarora","Unknown","","","8""","40'","100'","Northeast","10,100'","",NA,NA,NA,NA,NA,NA
"2017-01-11","Logan","Tony Grove","Natural","","","3'","1,000'","800'","East","9,200'","41.916762748840, -111.653323160740",NA,NA,NA,NA,NA,NA
"2017-01-16","Moab","Moab","Skier","Unintentionally Triggered","Facets","3'","150'","600'","North","11,000'","38.449690129868, -109.261136042220",NA,NA,NA,NA,NA,NA
"2017-01-18","Provo","Santaquin Canyon","Natural","","","","","","Southwest","","39.915312397054, -111.737866388900",NA,NA,NA,NA,NA,NA
"2017-01-19","Ogden","Snowbasin Backcountry","Skier","Unintentionally Triggered","","5""","","","East","5,500'","41.178814465593, -111.847472178080",1,1,1,NA,NA,NA
"2017-01-21","Salt Lake","Mt Aire","Natural","","New Snow","5""","250'","175'","North","8,100'","40.720720451501, -111.688899981130",NA,NA,NA,NA,NA,NA
"2017-01-21","Ogden","Cutler Basin","Skier","Intentionally Triggered","New Snow/Old Snow Interface","9""","100'","200'","Northeast","8,600'","41.363907942419, -111.950155185800",NA,NA,NA,NA,NA,NA
"2017-01-21","Salt Lake","Lacawaxan","Natural","","","6""","40'","100'","Northeast","10,200'","",NA,NA,NA,NA,NA,NA
"2017-01-11","Logan","Wood Camp","Natural","Sympathetic Release","Facets","4'","2,500'","2,500'","East","8,500'","41.806454108249, -111.661791869010",NA,NA,NA,NA,NA,NA
"2017-01-21","Salt Lake","Georges Bowl","Skier","Intentionally Triggered","New Snow/Old Snow Interface","14""","60'","400'","East","10,000'","40.615066559401, -111.668978544210",NA,NA,NA,NA,NA,NA
"2017-01-21","Southwest","Tushers","Natural","","Density Change","8""","30'","50'","Southeast","8,500'","38.284931512758, -112.446967350570",NA,NA,NA,NA,NA,NA
"2017-01-21","Salt Lake","Foothills","Skier","","Ground Interface","16""","20'","60'","West","5,100'","",NA,NA,NA,NA,NA,NA
"2017-01-21","Uintas","Weber Canyon","Skier","Unintentionally Triggered","Density Change","6""","30'","200'","North","10,100'","",NA,NA,NA,NA,NA,NA
"2017-01-21","Salt Lake","West Porter","Natural","","New Snow","","","","Northeast","9,300'","40.671466935830, -111.721718484790",NA,NA,NA,NA,NA,NA
"2017-01-21","","","Unknown","","New Snow/Old Snow Interface","8""","40'","20'","Northeast","8,000'","",NA,NA,NA,NA,NA,NA
"2017-01-21","Provo","Primrose Cirque","Natural","","New Snow","8""","1,500'","","Southeast","8,200'","",NA,NA,NA,NA,NA,NA
"2017-01-21","Moab","Moab","Skier","Remotely Triggered","Graupel","19""","2,500'","1,000'","North","10,400'","38.463868269298, -109.278519438840",NA,NA,NA,NA,NA,NA
"2017-01-21","Salt Lake","Figure 8 Hill","Natural","","New Snow/Old Snow Interface","12""","70'","","Northeast","9,600'","40.592521351122, -111.605097042670",NA,NA,NA,NA,NA,NA
"2017-01-22","Salt Lake","Scotts Peak","Skier","Intentionally Triggered","New Snow/Old Snow Interface","2'","100'","100'","Northeast","9,700'","",NA,NA,NA,NA,NA,NA
"2017-01-21","Salt Lake","Daly Canyon","Snowboarder","Intentionally Triggered","Facets","10""","60'","70'","Northwest","8,000'","40.627548965646, -111.499900805090",NA,NA,NA,NA,NA,NA
"2017-01-22","Salt Lake","Rocky Point","Skier","Intentionally Triggered","New Snow/Old Snow Interface","2'","60'","200'","Northeast","10,400'","40.578102595724, -111.597125517470",NA,NA,NA,NA,NA,NA
"2017-01-22","","","Skier","Unintentionally Triggered","New Snow","18""","50'","400'","North","7,500'","",NA,1,NA,NA,NA,NA
"2017-01-22","Ogden","Snowbasin Backcountry","Unknown","","New Snow/Old Snow Interface","6""","50'","50'","North","6,200'","41.205022162120, -111.820328222860",NA,NA,NA,NA,NA,NA
"2017-01-22","Uintas","Weber Canyon","Natural","","New Snow","8""","50'","80'","Northeast","10,100'","",NA,NA,NA,NA,NA,NA
"2017-01-22","Salt Lake","Murdock Peak","","","","20""","100'","50'","","","40.693640945393, -111.602107989200",NA,NA,NA,NA,NA,NA
"2017-01-23","Salt Lake","Canyons Periphery","Natural","","New Snow/Old Snow Interface","2'","150'","600'","East","9,600'","40.667244136546, -111.603916870680",NA,NA,NA,NA,NA,NA
"2017-01-23","Salt Lake","Reynolds Pk","Natural","Cornice Triggered","Density Change","9""","200'","400'","Northeast","9,100'","",NA,NA,NA,NA,NA,NA
"2017-01-24","Salt Lake","Park City Ridgeline","Skier","Remotely Triggered","New Snow/Old Snow Interface","3'","150'","200'","North","9,600'","40.645828517769, -111.579809176070",NA,NA,NA,NA,NA,NA
"2017-01-24","Uintas","Mirror Lake Highway","Snowboarder","Intentionally Triggered","Surface Hoar","15""","40'","60'","Northeast","9,000'","",NA,NA,NA,NA,NA,NA
"2017-01-24","Salt Lake","Bear Trap","Skier","Intentionally Triggered","New Snow/Old Snow Interface","2'","200'","600'","Southwest","8,600'","40.638469091403, -111.610407816500",NA,NA,NA,NA,NA,NA
"2017-01-23","Ogden","Chili Peak","","","","","","","Northeast","","41.357095477310, -111.916694628330",NA,NA,NA,NA,NA,NA
"2017-01-23","Ogden","Cutler Creek","Natural","","Facets","4'","150'","","North","6,200'","41.385436319774, -111.933517443280",NA,NA,NA,NA,NA,NA
"2017-01-23","Ogden","Cutler Ridge","Natural","","Facets","4'","80'","80'","North","6,400'","41.384728955402, -111.934890734300",NA,NA,NA,NA,NA,NA
"2017-01-23","Ogden","Cutler Ridge","","","","","","","","","",NA,NA,NA,NA,NA,NA
"2017-01-23","Uintas","Weber Canyon","Natural","","Surface Hoar","18""","100'","100'","Northeast","","",NA,NA,NA,NA,NA,NA
"2017-01-24","Ogden","Black Canyon","","","","","","","South","6,800'","41.388078554474, -111.938409792530",NA,NA,NA,NA,NA,NA
"2017-01-23","Ogden","Cutler Ridge","","","","3'","250'","300'","Northeast","6,700'","41.378483087131, -111.926479326820",NA,NA,NA,NA,NA,NA
"2017-01-23","Ogden","Cutler Ridge","","","","3.5'","500'","450'","North","6,800'","41.379062719297, -111.930513369190",NA,NA,NA,NA,NA,NA
"2017-01-25","Logan","Foothills west of Newton","Natural","Cornice Triggered","Surface Hoar","2'","200'","400'","Northeast","5,600'","41.891350861876, -112.061654101150",NA,NA,NA,NA,NA,NA
"2017-01-24","","","Skier","Remotely Triggered","Surface Hoar","2.5'","150'","200'","Northeast","7,600'","40.705367166074, -111.567878710360",NA,NA,NA,NA,NA,NA
"2017-01-22","Moab","Moab","Natural","","New Snow/Old Snow Interface","3'","125'","1,000'","East","11,300'","38.450810782715, -109.262723909950",NA,NA,NA,NA,NA,NA
"2017-01-22","Moab","Moab","Natural","","Facets","2.5'","200'","1,250'","Northeast","11,100'","38.449813539070, -109.261307703610",NA,NA,NA,NA,NA,NA
"2017-01-22","Moab","Moab","Natural","","Facets","2.5'","450'","800'","Northeast","11,100'","38.447785925371, -109.261007296180",NA,NA,NA,NA,NA,NA
"2017-01-24","Skyline","South Fork Twin Creek","Snowmobiler","Remotely Triggered","","20""","50'","30'","North","9,000'","39.471873677403, -111.358087050060",NA,NA,NA,NA,NA,NA
"2017-01-25","Uintas","Upper Weber Canyon","Skier","Remotely Triggered","Facets","3'","175'","30'","East","10,500'","40.828096836583, -111.008005129440",NA,NA,NA,NA,NA,NA
"2017-01-25","Salt Lake","Mt Aire","Skier","Unintentionally Triggered","Surface Hoar","20""","200'","200'","Northwest","7,900'","40.722220850222, -111.677205549830",1,1,NA,NA,NA,NA
"2017-01-23","Logan","Wellsville Mountain Wilderness","Natural","","Surface Hoar","","","","East","7,500'","41.548891372622, -111.985495720320",NA,NA,NA,NA,NA,NA
"2017-01-26","Uintas","Wolf Creek Pass","Snowmobiler","","Surface Hoar","2'","150'","100'","North","9,500'","40.492611098001, -111.035213457690",NA,NA,NA,NA,NA,NA
"2017-01-26","Logan","South Tony Grove","Snowboarder","Unintentionally Triggered","Surface Hoar","2.5'","20'","","North","8,300'","41.889259655481, -111.642890220280",NA,NA,NA,NA,NA,NA
"2017-01-26","Logan","Providence Quarry","Unknown","Unintentionally Triggered","Surface Hoar","2'","80'","100'","Northwest","6,600'","41.688563310627, -111.742625480280",NA,NA,NA,NA,NA,NA
"2017-01-23","Salt Lake","Butler Basin","Unknown","","","2'","200'","500'","East","10,100'","40.668041391419, -111.684801565750",NA,NA,NA,NA,NA,NA
